Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
China,2019-10-22,3,2020-06-03,S.Q677,2020-06-21,225,True,0.05298270465397884,18259.460122699387,967.4355828220858,16447.43070611852
USA,2020-03-03,26022,2021-11-19,S.Q677,2020-11-01,626,False,0.016111465270624598,256577.59623403364,4133.841030944974,84748.74587601596
Brazil,2020-03-09,1553,2021-11-12,S.Q677,2020-11-07,613,False,0.027845990904288728,101550.1404656567,2827.7642877359194,42356.90742557735
Australia,2020-03-20,88,2021-11-14,S.Q677,2020-11-18,604,False,0.009905405476304151,1402.239578652566,13.889751601475552,1227.1224997033116
Sweden,2020-03-20,810,2021-11-19,S.Q677,2020-11-18,609,False,0.01271099109557639,1659.1487275628378,21.08942470228813,2521.042925065023
Spain,2020-03-20,1033,2021-11-21,S.Q677,2020-11-18,611,False,0.017283177412081848,19008.57607124877,328.5285925904463,9904.841292994292
UK,2020-03-26,6718,2021-11-24,S.Q677,2020-11-24,608,False,0.014431449567554088,211650.10247006494,3054.417779764397,219867.19025765377
Germany,2020-03-27,3560,2021-11-18,S.Q677,2020-11-25,601,False,0.01896668175075226,17896.698205041368,339.4409792442789,9198.31885728653
Mexico,2020-03-28,278,2021-11-08,S.Q677,2020-11-26,590,False,0.0757120988735717,9926.348815944166,751.5447030063261,6918.615103034291
Canada,2020-04-01,2380,2021-10-29,S.Q677,2020-11-30,576,False,0.016910965945661004,124014.1950953017,2097.199830035207,55028.403974741086
India,2020-04-06,1601,2021-11-03,S.Q677,2020-12-05,576,False,0.013392723556478863,298414.5211613345,3996.5831871527644,70730.5169870757
Indonesia,2020-04-09,106,2021-10-24,S.Q677,2020-12-08,563,False,0.03377461280244263,22748.49491319532,768.3216075315078,7860.357773219762
Romania,2020-04-11,44,2021-11-03,S.Q677,2020-12-10,571,False,0.029299770386203367,2942.507460304795,86.21479294662092,2836.0329685901697
Madagascar,2020-04-13,14,2021-03-29,S.Q677,2020-12-12,350,False,0.01643789895281405,253.25735849056605,4.163018867924528,68.3723470973471
Japan,2020-04-17,778,2021-10-14,S.Q677,2020-12-16,545,False,0.010514427632931615,2629.2122826183236,27.64466227720531,2828.143835266757
Italy,2020-04-21,1718,2021-11-22,S.Q677,2020-12-20,580,False,0.027016330396174765,31877.40242278319,861.2104360257326,10459.678240257766
Egypt,2020-04-26,368,2021-09-04,S.Q677,2020-12-25,496,False,0.057911379296060536,121972.21052631579,7063.578947368421,581.945943930196
Austria,2020-04-26,354,2021-11-05,S.Q677,2020-12-25,558,False,0.013232184333075263,7227.0650404586095,95.62985680247235,1711.225639033385
Qatar,2020-05-08,55,2021-09-15,S.Q677,2021-01-06,495,False,0.0025696222995566977,1740.2032575043747,4.471665096244448,364.1720005762826
Guinea-Bissau,2020-05-13,2,2021-01-29,S.Q677,2021-01-11,261,False,0.017772511848341232,25.06930693069307,0.44554455445544555,5.1276868604272146
Kenya,2020-05-17,66,2021-10-01,S.Q677,2021-01-15,502,False,0.020534588046851536,1399.7324840764331,28.742929936305732,510.5698304953057
Bangladesh,2020-05-17,41,2021-09-26,S.Q677,2021-01-15,497,False,0.01767104929832127,8618.616666666667,152.3,2617.593611697954
South Africa,2020-05-28,165,2021-10-20,S.Q677,2021-01-26,510,False,0.03041764370018157,6571.635522310643,199.89366784510176,5543.397524947479
Malaysia,2020-05-29,57,2021-11-03,S.Q677,2021-01-27,523,False,0.011698966070545276,9882.715799748989,115.61755682610514,4117.4645251057655
Guinea,2020-06-02,26,2021-07-16,S.Q677,2021-01-31,409,False,0.007586631125692024,1346.0934182590233,10.21231422505308,50.33639384108582
South Korea,2020-06-08,24,2021-10-09,S.Q677,2021-02-06,488,False,0.007767277290291053,187.36944235116806,1.4553504144687264,565.2071947857892
Senegal,2020-06-09,119,2021-10-25,S.Q677,2021-02-07,503,False,0.025414095485547253,9547.908794788274,242.6514657980456,143.68025130686883
North Macedonia,2020-06-11,105,2021-04-26,S.Q677,2021-02-09,319,False,0.031286503132632475,7113.561151079137,222.55845323741008,479.5442268112969
Saudi Arabia,2020-06-13,9,2021-09-06,S.Q677,2021-02-11,450,False,0.015734268940637477,11492.241217798595,180.82201405152225,662.3595537939291
Belgium,2020-06-18,974,2021-11-26,S.Q677,2021-02-16,526,False,0.015773083855331906,6403.047943935343,100.99581214940272,2884.9379585186
United Arab Emirates,2020-06-25,46,2021-02-07,S.Q677,2021-02-23,227,True,0.00282087015115086,5184.249223334484,14.624093890231274,1091.0649883514554
Colombia,2020-06-26,33,2021-10-21,S.Q677,2021-02-24,482,False,0.025461825111421428,6092.950344367919,155.13763608087092,11486.471473321917
Laos,2020-07-05,3,2020-07-10,S.Q677,2021-03-05,5,True,0.0,2.590909090909091,0.0,0.0
Singapore,2020-07-27,39,2021-05-29,S.Q677,2021-03-27,306,False,0.0005161040594809929,94.87648605171263,0.04896613960058069,20.60525394641126
Iceland,2020-08-03,13,2021-08-22,S.Q677,2021-04-03,384,False,0.002965892239248641,5.751935610865666,0.01705962118892437,14.713742345737156
Pakistan,2020-08-10,15,2021-07-06,S.Q677,2021-04-10,330,False,0.023259665820226975,2837.3027217544545,65.99471313882906,2307.5390446157035
France,2020-08-13,4214,2021-11-18,S.Q677,2021-04-13,462,False,0.016009383492571243,816113.2645709424,13065.470225890473,205591.09776289095
Netherlands,2020-08-16,677,2021-11-14,S.Q677,2021-04-16,455,False,0.00814388824056002,26976.574058719012,219.69420424739826,26044.708302695803
Denmark,2020-08-17,1922,2021-11-22,S.Q677,2021-04-17,462,False,0.00617199077256825,3432.5322293347817,21.185557245997398,2716.192475981231
Russia,2020-08-18,46,2021-10-31,S.Q677,2021-04-18,439,False,0.02795350289520725,20182.62707515056,564.1751243781094,16275.504778245939
